name,online_order,rate,votes,location,cuisines,approx_cost(for two people),Cluster
New Prashanthi Donne Biryani,No,3.3,6,Frazer Town,Biryani,300.0,0
Meat Up Barbecue & More,No,3.7,17,Kalyan Nagar,"BBQ, Fast Food",400.0,2
Flayvours4u,No,3.2,27,Hennur,"Ice Cream, Beverages",150.0,0
The Lovin' Oven Cakery,No,3.5,11,Banaswadi,"Bakery, Desserts",500.0,0
Cafeteria Al - Falah,No,3.3,5,Banaswadi,"Fast Food, North Indian",300.0,0
Grow Fit,No,3.8,68,Banaswadi,"Healthy Food, North Indian, Thai",500.0,2
Upsouth,Yes,3.8,51,Banaswadi,South Indian,300.0,2
Banarasi Tadka,Yes,2.8,19,Banaswadi,North Indian,200.0,0
Victoria Terminus,Yes,2.9,54,Banaswadi,"Fast Food, Maharashtrian, Rolls",250.0,0
Sotang's,No,3.3,9,Kammanahalli,"North Indian, Chinese",250.0,0
Delish Chinese Fast Food,Yes,3.2,4,Banaswadi,"Chinese, North Indian, Biryani",300.0,0
Shake It Off,Yes,3.9,17,Kalyan Nagar,"Beverages, Fast Food",600.0,2
Moghul's Restaurant,Yes,3.0,49,HBR Layout,"Mughlai, North Indian, Chinese",700.0,0
Kings Court,Yes,3.1,12,Kalyan Nagar,"North Indian, Mughlai, Chinese",800.0,0
Lassi Corner,Yes,3.4,19,Kalyan Nagar,"Beverages, Sandwich",250.0,0
Hunger Twist,Yes,3.8,60,Kalyan Nagar,"Fast Food, Burger",300.0,2
Havmor,Yes,3.1,27,Banaswadi,"Ice Cream, Desserts",200.0,0
Naidu Military Hotel,Yes,3.5,13,Kammanahalli,South Indian,250.0,0
The Rennan's Cafe,Yes,2.9,48,Kammanahalli,"Chinese, Fast Food, Momos",250.0,0
Tawa Fresh,Yes,3.4,12,Hennur,"Seafood, Biryani, South Indian, North Indian, Rolls",300.0,0
Cafe Jezve,Yes,3.8,18,Koramangala 5th Block,Cafe,500.0,2
CK's Bakery,Yes,3.5,4,City Market,"Bakery, Fast Food",200.0,0
Artville Cafe,No,3.8,92,Kalyan Nagar,Cafe,700.0,2
Farha Real Taste Of Kerala,Yes,3.1,6,Nagawara,Kerala,300.0,0
Hoppipola,Yes,4.4,816,Kalyan Nagar,"Continental, Fast Food, European",1200.0,1
Best B Restaurant,Yes,3.5,12,HBR Layout,"South Indian, North Indian, Chinese, Kerala",400.0,0
Debby's Kitchen,Yes,3.6,16,Frazer Town,"Modern Indian, American, Chinese",250.0,2
Reddy's Naati Mane,Yes,3.4,15,Banaswadi,"South Indian, BBQ",400.0,0
SK Tiffins Corner,Yes,3.3,4,Banaswadi,South Indian,100.0,0
Sai Bhavan Veg & Non Veg,Yes,3.2,11,Banaswadi,"Mughlai, Chinese, South Indian",400.0,0
Based On A True Story- Bistro,Yes,4.3,496,Kammanahalli,"Cafe, Burger, Italian, Desserts",800.0,2
Sweet Moments Express,Yes,3.7,18,Kammanahalli,"Mithai, Street Food",200.0,2
Kanti Sweets,Yes,4.0,154,Kammanahalli,"Mithai, Street Food",400.0,2
Gold Line Breadz,No,3.7,53,Kammanahalli,"Bakery, Fast Food, Desserts",350.0,2
Anand Sweets and Savouries,Yes,4.0,99,Kammanahalli,"Mithai, Street Food",400.0,2
Gelato Italiano,Yes,3.2,4,Kammanahalli,"Ice Cream, Desserts, Bakery",200.0,0
Sreeraj Lassi Bar,Yes,4.0,120,Kammanahalli,"Beverages, Desserts, Juices",150.0,2
Kiko,Yes,3.4,10,Kammanahalli,"Salad, Chinese",500.0,0
Sprinkled,No,3.8,17,Kammanahalli,"Bakery, Desserts",500.0,2
Bake N Joy,No,3.5,6,Kammanahalli,"Bakery, Beverages",500.0,0
Cafe Coffee Day,No,3.1,10,Kammanahalli,"Cafe, Fast Food",900.0,0
Belgian Waffle Factory,Yes,4.8,265,Kalyan Nagar,Desserts,400.0,2
The Chocolate Heaven,Yes,4.1,399,Kalyan Nagar,"Desserts, Cafe, Italian, Beverages",700.0,2
Corner House Ice Cream,No,4.4,669,Kalyan Nagar,"Ice Cream, Desserts",400.0,2
Amma's Pastries,No,3.9,130,HBR Layout,Bakery,400.0,2
Mugful Of Stories,No,4.6,274,Kalyan Nagar,"Desserts, Bakery",300.0,2
The Belgian Waffle Co.,Yes,3.8,32,Kalyan Nagar,"Desserts, Beverages",350.0,2
Natural Ice Cream,No,4.3,259,Kalyan Nagar,"Ice Cream, Beverages",200.0,2
Polar Bear,Yes,3.8,221,Kalyan Nagar,"Ice Cream, Desserts, Beverages, Sandwich",400.0,2
Eunoia,No,3.9,19,Kalyan Nagar,"Cafe, Continental, Bakery",450.0,2
American Desserts,Yes,3.6,23,Banaswadi,"Desserts, Bakery",500.0,2
IceBreakers,No,3.9,14,Kalyan Nagar,"Desserts, Ice Cream",500.0,2
Momma's Pastries Fine Bakery And Cafe,Yes,3.4,10,Banaswadi,"Bakery, Desserts, Fast Food",500.0,0
Cream Stone,Yes,4.2,432,Kalyan Nagar,"Desserts, Beverages",500.0,2
Roll Over,Yes,4.1,174,Kalyan Nagar,"Ice Cream, Beverages, Fast Food",500.0,2
The Original Bistro,No,4.1,71,Kalyan Nagar,"Italian, Beverages",600.0,2
Fragrant Kitchen,No,3.8,110,Kalyan Nagar,"North Indian, Chinese, Cafe, Desserts",700.0,2
The Gluten Free Baking Co.,No,3.8,41,Banaswadi,Bakery,400.0,2
Thanco's Natural Ice Cream,Yes,3.8,109,Banaswadi,"Ice Cream, Desserts",450.0,2
Keventers,Yes,3.7,34,Kalyan Nagar,"Desserts, Beverages, Ice Cream",400.0,2
Warm Oven,Yes,3.8,24,Kalyan Nagar,"Bakery, Desserts",500.0,2
Waffle Stories,Yes,3.8,31,Banaswadi,"Desserts, Beverages",300.0,2
Sweet Truth,Yes,3.9,35,Kalyan Nagar,"Bakery, Desserts",500.0,2
The French Corner,No,3.4,10,Kalyan Nagar,"Bakery, Desserts, Fast Food",400.0,0
Thran Bakery,No,3.6,8,Kalyan Nagar,"Bakery, Desserts, Beverages",600.0,2
Ibaco,Yes,3.9,90,Kalyan Nagar,Desserts,300.0,2
Krispy Kreme,No,3.9,87,Kalyan Nagar,"Desserts, Beverages",300.0,2
Creamyum,No,4.0,95,HBR Layout,"Bakery, Desserts",300.0,2
Jai Mataji Farshan & Sweets,Yes,3.8,48,Banaswadi,"Mithai, Street Food",150.0,2
Bombay Chowpaty Kulfi,No,3.7,40,Kalyan Nagar,"Ice Cream, Desserts",250.0,2
The Chocolate Heaven - Cakes,Yes,3.9,64,Kalyan Nagar,"Desserts, Bakery, Beverages",600.0,2
The Pipe Rack,No,3.9,35,Kalyan Nagar,Cafe,700.0,2
Cake House - Story Cafe,No,3.9,78,Kalyan Nagar,"Bakery, Desserts",650.0,2
CAD (M) CAD (B),No,3.2,6,Banaswadi,Street Food,200.0,0
KC Das - Elite Sweets,No,3.2,29,Kalyan Nagar,"Mithai, Street Food",200.0,0
Just Bake,Yes,3.4,22,Banaswadi,"Bakery, Desserts",400.0,0
Facebake,Yes,3.7,68,Banaswadi,"Bakery, Desserts",300.0,2
Havmor,Yes,3.1,27,Banaswadi,"Ice Cream, Desserts",200.0,0
Arun Icecreams,No,3.1,6,Banaswadi,"Ice Cream, Desserts",150.0,0
"Cakes, Crumbs & Magic",No,3.3,4,Kalyan Nagar,Bakery,300.0,0
Sri Venkateshwara Sweets Chats Juice Centre,No,3.4,5,HBR Layout,"Beverages, Juices, Street Food",100.0,0
Lava Kaffe,No,3.5,9,Banaswadi,Cafe,350.0,0
OvenTreats - Patisserie.Bistro,No,4.0,81,Kalyan Nagar,American,1000.0,2
Creme Bliss,Yes,3.9,42,HBR Layout,"Bakery, Desserts",350.0,2
Baskin Robbins,No,3.6,27,Kalyan Nagar,"Ice Cream, Desserts",250.0,2
The Lovin' Oven Cakery,No,3.5,11,Banaswadi,"Bakery, Desserts",500.0,0
Sweet Chariot,No,2.8,60,Kalyan Nagar,"Bakery, Fast Food",500.0,0
The French Loaf,Yes,3.5,17,Kalyan Nagar,"Bakery, Desserts",300.0,0
Dream Scoopers,No,3.4,16,Kalyan Nagar,"Ice Cream, Desserts",200.0,0
The Bridge Walk Cafe,Yes,3.7,44,Kengeri,"Cafe, Continental",500.0,2
Avista Cafe Pizzeria,Yes,4.5,506,Hennur,"Cafe, Italian",650.0,2
INDULGE by InnerChef,Yes,3.1,27,Hennur,"Desserts, Bakery",400.0,0
Patisserie Nitash,No,4.2,142,Frazer Town,Bakery,500.0,2
CK's Bakery,Yes,3.5,4,City Market,"Bakery, Fast Food",200.0,0
The Sugar Fairy,No,4.3,241,Frazer Town,"Bakery, Desserts",100.0,2
Leia Soul Food,No,3.8,41,Frazer Town,Bakery,500.0,2
Flayvours4u,No,3.2,27,Hennur,"Ice Cream, Beverages",150.0,0
Cafe D'Costa,No,3.8,40,Frazer Town,Bakery,200.0,2
SS Bucket Biryani,No,4.0,168,Kammanahalli,"Biryani, North Indian, Chinese",600.0,2
Nandhana Palace,No,4.2,788,Kammanahalli,"Andhra, Biryani, North Indian, Chinese",800.0,2
Onesta,Yes,4.4,2640,Kammanahalli,"Pizza, Cafe, Italian",600.0,4
Connie's Restaurant & Steakhouse,Yes,4.3,1446,Kammanahalli,"Steak, Continental, Burger, American, BBQ, European, Salad",1500.0,1
Raidan Restaurant,No,3.9,259,Kammanahalli,"Arabian, Chinese, North Indian",450.0,2
Giselle Resto Cafe,Yes,4.2,884,Kammanahalli,"Cafe, Italian, Pizza, Beverages, Desserts",800.0,2
OKI,Yes,4.5,435,Kammanahalli,"Asian, European, Italian, Korean, Malaysian, Thai, Vietnamese, Chinese",1200.0,1
Mahadii's,Yes,3.8,223,Kammanahalli,"Andhra, North Indian, Chinese",600.0,2
Thalassery Restaurant,Yes,4.0,430,Kammanahalli,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kerala",800.0,2
Arirang Korean Restaurant,No,4.0,240,Kammanahalli,Korean,1400.0,1
Sangam Mess,No,4.2,232,Kammanahalli,"South Indian, Biryani, North Indian",300.0,2
Delicious Momos,No,4.1,112,Kammanahalli,"Chinese, Momos",450.0,2
Abhiruchi,No,3.8,167,Kammanahalli,"Andhra, Seafood, North Indian, Chinese",650.0,2
The Mangalorean,Yes,4.1,232,Kammanahalli,"Konkan, Mangalorean, Seafood",550.0,2
Kannur Restaurant,Yes,3.8,65,Kammanahalli,"South Indian, North Indian, Kerala",400.0,2
Savoury Restaurant,Yes,3.7,380,Kammanahalli,"Arabian, North Indian, Chinese, Beverages",800.0,2
Vanas,Yes,4.0,72,Kammanahalli,"Mangalorean, Seafood",550.0,2
Churrascaria Brazil,No,4.1,114,Kammanahalli,European,1400.0,1
New Peking,Yes,4.0,386,Kammanahalli,"Chinese, Malaysian",700.0,2
Empire Restaurant,Yes,4.1,3248,Kammanahalli,"North Indian, Mughlai, South Indian, Chinese",750.0,4
Al-Badia Restaurant,No,4.2,96,Kammanahalli,Arabian,700.0,2
Hyderabad Biryaani Palace,Yes,3.4,309,Kammanahalli,"Biryani, Hyderabadi, Chinese",750.0,0
Yomama!!,Yes,3.6,108,Kammanahalli,"Continental, Burger, Cafe, Steak",800.0,2
Samovar,Yes,3.9,197,Kammanahalli,"Kerala, South Indian",600.0,2
Regency Park,Yes,3.6,149,Kammanahalli,"North Indian, Chinese, Seafood, Rolls",700.0,2
Have More,No,3.9,203,Kammanahalli,North Indian,700.0,2
Twins,No,3.8,139,Kammanahalli,"North Indian, Chinese, Continental",500.0,2
Food Star,No,3.2,16,Kammanahalli,"North Indian, Chinese",500.0,0
Rahhams,Yes,3.5,316,Kammanahalli,"Mughlai, North Indian, Chinese",700.0,0
Sumac Resto Cafe,No,3.5,6,Kammanahalli,"Cafe, Turkish",400.0,0
Al Amal Cafe,No,4.0,76,Kammanahalli,"Cafe, Fast Food",300.0,2
Asia In A Box,Yes,2.9,18,Kammanahalli,"Thai, Vietnamese, Indonesian, Asian",550.0,0
Paaramparya Restaurant,Yes,3.6,20,Kammanahalli,"Chettinad, Mangalorean, South Indian, North Indian",600.0,2
18+ Ice Cafe,No,3.5,25,Kammanahalli,"Cafe, Fast Food, Chinese, Beverages",550.0,0
Bhajanka's Restaurant,No,3.6,21,Kammanahalli,"Street Food, North Indian, Continental, Beverages",700.0,2
Wild Range Restaurant,Yes,3.8,45,Kammanahalli,"North Indian, Chinese",600.0,2
Maddy's Cafe,Yes,3.8,36,Kammanahalli,"Cafe, Continental",500.0,2
A2B - Adyar Ananda Bhavan,Yes,3.8,98,Kammanahalli,"South Indian, Fast Food, Chinese, North Indian",600.0,2
Zu's Doner Kebaps,Yes,3.6,22,Kammanahalli,"Turkish, Fast Food",350.0,2
SHAIK's DYNASTY,No,3.2,6,Kammanahalli,"North Indian, Chinese",450.0,0
Kenriy The Restro,No,3.3,6,Kammanahalli,"Goan, Mangalorean",800.0,0
Hayaat,No,3.4,7,Kammanahalli,"Kerala, Chinese, North Indian",600.0,0
Bite and Pipes,No,3.5,13,Kammanahalli,"Continental, Chinese",500.0,0
Panda Boy,Yes,3.9,118,Kammanahalli,Chinese,550.0,2
H3O,No,3.1,12,Kammanahalli,"North Indian, Chinese",1000.0,0
Ocean's Delight,No,3.4,13,Kammanahalli,"Seafood, Biryani, South Indian",700.0,0
Sukh Sagar,Yes,2.7,185,Kammanahalli,"North Indian, South Indian, Chinese, Beverages",450.0,0
White Oak Cafe,No,2.6,26,Kammanahalli,"Cafe, Fast Food",600.0,0
Davis Bar And Restaurant,No,3.0,32,Kammanahalli,"North Indian, Finger Food, Chinese",700.0,0
Al Amanah Cafe,Yes,4.4,1514,Kammanahalli,"Middle Eastern, Fast Food, Rolls",300.0,2
Kaapikada,No,3.8,33,Kammanahalli,"Kerala, Fast Food, Beverages",250.0,2
Big Chicken,Yes,3.9,118,Kammanahalli,"Fast Food, Beverages",400.0,2
Huko Mukho Hangla,Yes,4.0,182,Kammanahalli,"Bengali, Seafood",400.0,2
Burger King,Yes,3.9,727,Kammanahalli,"Burger, Fast Food, Beverages",600.0,2
Home Food,Yes,3.5,17,Kammanahalli,South Indian,300.0,0
Chickpet Donne Biryani House,Yes,3.8,189,Kammanahalli,Biryani,250.0,2
Sidra Eatery,Yes,3.9,29,Kammanahalli,"North Indian, Continental",400.0,2
Food Box,No,3.6,22,Kammanahalli,"Fast Food, Beverages",350.0,2
Just Shawarma,Yes,3.7,119,Kammanahalli,"Arabian, Fast Food",300.0,2
KFC,Yes,3.1,639,Kammanahalli,"Burger, Fast Food",450.0,0
Eatapita,No,4.0,129,Kammanahalli,"Arabian, Pizza, Greek, Lebanese, Mediterranean",600.0,2
Fish Chain,Yes,3.5,15,Kammanahalli,"BBQ, Seafood, Fast Food",300.0,0
Momoz,Yes,3.9,187,Kammanahalli,"Chinese, Momos, Seafood",500.0,2
Navarang Fast Food,Yes,3.6,116,Kammanahalli,"North Indian, Chinese, Kebab, Rolls",300.0,2
Gold Line Breadz,No,3.7,54,Kammanahalli,"Bakery, Fast Food, Desserts",350.0,2
Five Star Chicken,No,3.5,32,Kammanahalli,Fast Food,200.0,0
Anu Momos Chinese Kitchen,Yes,3.7,120,Kammanahalli,"Chinese, Thai, Momos",450.0,2
Faasos,Yes,4.0,160,Kammanahalli,"North Indian, Biryani, Fast Food",500.0,2
Jingo BBQ & Burgers,Yes,3.9,43,Kammanahalli,"Burger, BBQ",600.0,2
JS Food Court,Yes,3.8,134,Kammanahalli,"Fast Food, Juices",400.0,2
Pathaan Sir,Yes,3.7,59,Kammanahalli,"Rolls, Chinese",300.0,2
Biryani Joint,No,3.3,4,Kammanahalli,"South Indian, Biryani",200.0,0
The Rennan's Cafe,Yes,2.9,48,Kammanahalli,"Chinese, Fast Food, Momos",250.0,0
Sotang's,No,3.3,9,Kammanahalli,"North Indian, Chinese",250.0,0
Coorg Lunch Home,Yes,3.6,60,Kammanahalli,South Indian,300.0,2
NTR Cafe,Yes,2.9,4,Kammanahalli,"Chinese, Fast Food",100.0,0
Le Roll Cafe,Yes,3.9,57,Kammanahalli,"Fast Food, Beverages, Rolls",300.0,2
Ambur Biriyani Zone,No,3.2,4,Kammanahalli,"Biryani, Kebab",200.0,0
Al Ghani Resetaurant,No,3.3,4,Kammanahalli,"Mughlai, Biryani",400.0,0
Naidu Military Hotel,Yes,3.5,13,Kammanahalli,South Indian,250.0,0
Chubalas Curry And Rice,Yes,4.0,211,Kammanahalli,"Naga, Goan, Seafood, Chinese",550.0,2
Banarasi Chat Centre,No,3.2,6,Kammanahalli,Street Food,150.0,0
New Kairali Restaurant,Yes,3.7,94,Kammanahalli,"Kerala, South Indian",400.0,2
Ice Berg,Yes,3.3,9,Kammanahalli,Fast Food,300.0,0
Sree Gajanana Fruit Juice Centre,No,3.3,6,Kammanahalli,"Juices, Fast Food",150.0,0
Sidekicks,No,3.4,9,Kammanahalli,Continental,450.0,0
Doner Bel,No,3.5,17,Kammanahalli,"Turkish, Chinese",400.0,0
CutePorkie,No,3.3,4,Kammanahalli,Continental,400.0,0
Sannidhi Grand,Yes,3.8,52,Kammanahalli,"South Indian, North Indian, Chinese, Street Food",300.0,2
McDonald's,Yes,2.9,217,Kammanahalli,"Burger, Fast Food",500.0,0
Calicut Restaurant,Yes,3.6,80,Kammanahalli,"Kerala, South Indian, North Indian, Chinese",450.0,2
Chetty's Corner,Yes,3.6,18,Kammanahalli,"Fast Food, Pizza, Sandwich",250.0,2
Sri Sagar,Yes,3.7,30,Kammanahalli,"South Indian, North Indian, Chinese, Street Food, Juices",300.0,2
AB's - Absolute Barbecues,No,4.7,1697,Kalyan Nagar,"European, Mediterranean, North Indian, BBQ",1400.0,4
Sigree Global Grill,No,4.4,1129,Kalyan Nagar,"Rajasthani, Gujarati, North Indian",1400.0,1
Float Brewery,Yes,4.2,471,Kalyan Nagar,"Bar Food, Asian, European, Mediterranean",1800.0,1
Brewklyn Microbrewery,Yes,4.4,2392,Kalyan Nagar,"American, Continental, Pizza",2000.0,4
Barbeque Nation,No,4.2,1145,Kalyan Nagar,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,1
Truffles,No,4.5,1239,Kalyan Nagar,"Cafe, American, Burger, Steak",900.0,4
Mainland China,Yes,4.5,1065,Kalyan Nagar,Chinese,1100.0,1
Kapoor's Cafe,No,4.1,488,Kalyan Nagar,North Indian,800.0,2
Imperio Restaurant,Yes,4.4,1339,Kalyan Nagar,"North Indian, Mughlai, Biryani, South Indian, Beverages",800.0,4
Zamindar,Yes,4.6,376,Kalyan Nagar,"Biryani, Mughlai, Andhra",800.0,2
Cafe Azzure,Yes,4.2,609,Kalyan Nagar,"Cafe, Continental, Italian, Burger",1200.0,1
Chulha Chauki Da Dhaba,Yes,4.1,1286,Kalyan Nagar,North Indian,800.0,2
Hoppipola,Yes,4.4,859,Kalyan Nagar,"Continental, Fast Food, European",1200.0,1
Sri Durga Nellore Mess,Yes,3.4,356,Banaswadi,"Andhra, South Indian, Biryani",350.0,0
Mamaji's,Yes,3.8,36,HBR Layout,North Indian,600.0,2
BYLI - Bet You Love It!,No,4.2,2011,Kalyan Nagar,"Continental, Italian, Mexican, Asian",800.0,4
Ginger Greens,No,3.9,303,Kalyan Nagar,"Andhra, Chinese, North Indian",750.0,2
Maraheb Restaurant,Yes,4.2,224,Kalyan Nagar,Arabian,1000.0,2
Cafe Pink Pajamas,Yes,4.1,605,Kalyan Nagar,"Cafe, Italian",700.0,2
Suvarna Sree Food Paradise,Yes,3.9,63,Banaswadi,"South Indian, Chinese, North Indian, Biryani",400.0,2
Teburu,Yes,4.4,214,Kalyan Nagar,"Asian, Chinese, Japanese, BBQ",800.0,2
Casa De Goa,Yes,4.2,367,Kalyan Nagar,"Goan, Mangalorean",1400.0,1
The Local,Yes,4.2,1223,Kalyan Nagar,"Finger Food, Continental, Italian, Salad",1400.0,1
Tamarind - Tamarind Hospitality,Yes,3.9,616,Banaswadi,"Chinese, Continental, North Indian",750.0,2
Wanderers,No,3.9,695,Kalyan Nagar,"Continental, North Indian, South Indian, Italian",1500.0,1
Sherlock's Pub,Yes,3.8,389,Kalyan Nagar,"Continental, North Indian, Chinese, Italian",1300.0,1
Keto Kitchen,Yes,3.8,142,Kalyan Nagar,"Healthy Food, Continental, North Indian",700.0,2
7 Plates,Yes,3.5,531,Kalyan Nagar,"North Indian, Mughlai, Rolls, Fast Food",600.0,0
Sri Ruchi Restuarant,Yes,3.8,77,Banaswadi,"Andhra, South Indian, North Indian",450.0,2
Spice Kitchen,Yes,3.8,325,Kalyan Nagar,"Andhra, Biryani, Seafood, North Indian",750.0,2
The Coorg Food Co.,Yes,4.3,482,Kalyan Nagar,South Indian,750.0,2
Little Italy,Yes,4.2,421,Kalyan Nagar,"Salad, Healthy Food, Italian, Juices, Mexican, Pizza",1500.0,1
FireHouse - Bar & Kitchen,Yes,3.9,764,HBR Layout,"Continental, American, Chinese, BBQ, Salad, Italian",1500.0,1
Angaar Indian Grill & Restaurant,No,3.9,130,HBR Layout,"Arabian, Mughlai, North Indian, Chinese, Rolls",600.0,2
Thran,No,4.2,310,Kalyan Nagar,Korean,1300.0,1
The Filter Coffee,No,4.0,55,Banaswadi,"South Indian, Coffee",200.0,2
Beijing Bites,Yes,3.8,21,Kalyan Nagar,"Chinese, Thai",850.0,2
Manasa Fishland,Yes,4.1,206,Kalyan Nagar,"Seafood, South Indian, North Indian",650.0,2
Coffee Mechanics,Yes,4.3,193,HBR Layout,"Cafe, Bakery, French, Jewish, Sandwich, Vegan, Coffee",700.0,2
Aioli,No,4.2,789,Kalyan Nagar,"Mediterranean, Continental, Italian, Salad",1400.0,1
Chung Wah,Yes,4.0,717,Kalyan Nagar,"Chinese, Thai, Momos, Vietnamese",800.0,2
Pecos Mojo,No,4.0,170,Banaswadi,Finger Food,1100.0,1
Bottoms Up Resto Bar,No,3.9,248,Kalyan Nagar,"Finger Food, Italian, Continental",1200.0,1
Saffron Vegetarian Cuisine,Yes,4.0,671,Banaswadi,"North Indian, Continental, Chinese, Mexican, Italian",700.0,2
Global Flavors,Yes,3.5,135,Banaswadi,"North Indian, Fast Food, Beverages",1000.0,2
Marakachi,Yes,3.7,82,Kalyan Nagar,Chettinad,600.0,2
Vera Italiano,Yes,4.1,203,Kalyan Nagar,Italian,600.0,2
Hungry Vihaari,Yes,4.0,47,Kalyan Nagar,"Continental, Burger, Salad, Pizza, Beverages",800.0,2
The Chef's Kitchen,Yes,3.8,323,Kalyan Nagar,"Continental, North Indian, Chinese",800.0,2
China Pearl,Yes,4.1,163,Kalyan Nagar,"Chinese, Momos",1100.0,1
Purnabramha Maharashtrian Restaurant,Yes,3.3,30,Kalyan Nagar,Maharashtrian,850.0,0
Aqni,Yes,3.9,360,HBR Layout,"North Indian, Mughlai, Biryani, Rolls",650.0,2
Artville Cafe,No,3.8,94,Kalyan Nagar,Cafe,700.0,2
Wokanaka - The Casual Chinese Pitstop,Yes,4.1,226,Kalyan Nagar,"Asian, Chinese, Thai, Seafood, Momos",500.0,2
The Story Wall Bistro,No,3.8,19,Banaswadi,"Italian, Continental",600.0,2
Biriyani House,Yes,3.8,204,Banaswadi,"Andhra, North Indian, Biryani, Beverages",600.0,2
Olive Garden,Yes,3.7,214,Kalyan Nagar,"Arabian, North Indian, Chinese, Beverages",700.0,2
Fiddler's Green,No,3.9,75,Kalyan Nagar,"Continental, American, Indonesian, Asian, Thai",1200.0,1
Vijaya Gardenia,Yes,3.5,67,Banaswadi,"North Indian, Chinese, Andhra",500.0,0
Countryside - The Taste of Chettinad,Yes,3.9,293,Kalyan Nagar,"Seafood, Biryani, South Indian, Chettinad",900.0,2
Eunoia,No,3.4,24,Kalyan Nagar,"Cafe, Continental, Bakery",450.0,0
Wolga Restaurant,Yes,3.4,6,Banaswadi,"North Indian, Chinese, Biryani",600.0,0
Zyara,Yes,3.8,191,HBR Layout,"North Indian, Mughlai, Chinese",650.0,2
Patio - The Resto Cafe,Yes,3.7,75,Banaswadi,"Cafe, Continental, Chinese, Momos",500.0,2
The Grill House,Yes,4.0,183,Kalyan Nagar,"American, Mexican, Italian, Steak",1000.0,2
Agent Jack's Bar,No,4.0,395,Kalyan Nagar,"Continental, North Indian, Italian",1300.0,1
Sufi Restaurant & Cafe,Yes,3.8,107,Banaswadi,"Iranian, Mughlai, Chinese",800.0,2
Chung's Chinese Corner,Yes,2.8,236,Kalyan Nagar,"Chinese, Asian, American, Seafood",600.0,0
An Egg Story,No,4.0,250,Kalyan Nagar,"Cafe, Continental, American, Italian",600.0,2
Bhagini,Yes,2.3,120,Banaswadi,"Andhra, South Indian, Chinese, North Indian",800.0,0
Yuan Restaurant,Yes,3.7,205,HBR Layout,"Chinese, Momos",600.0,2
Delicacy,Yes,4.1,449,Kalyan Nagar,"Chinese, Thai, Momos",500.0,2
Khyma Biryani,Yes,4.0,249,Kalyan Nagar,Biryani,600.0,2
4 Seasons Restaurant,Yes,3.7,399,Kalyan Nagar,"North Indian, Seafood, Middle Eastern, Chinese",1000.0,2
Taste Of Nawaabs,Yes,3.6,328,Banaswadi,"North Indian, Mughlai",600.0,2
Donne Biriyani Mane,Yes,3.6,226,Kalyan Nagar,"Biryani, Kebab",400.0,2
2 Statez,Yes,3.7,214,Kalyan Nagar,"Kerala, Seafood, South Indian, North Indian, Chinese",600.0,2
Hi Seoul,Yes,4.1,202,Kalyan Nagar,Korean,800.0,2
Swagatham Rayalaseema Ruchulu,Yes,3.3,24,Kalyan Nagar,,600.0,0
Mayonaise,Yes,3.9,58,Banaswadi,"Cafe, Continental, Beverages",500.0,2
Chichaba's Taj,Yes,3.8,292,Kalyan Nagar,"Biryani, North Indian, Mughlai",600.0,2
Draggers CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,4.0,277,Kalyan Nagar,"Cafe, Continental, North Indian",900.0,2
Srinathjis,Yes,3.6,63,Banaswadi,"North Indian, Cafe, Chinese",550.0,2
The Original Bistro,No,4.1,71,Kalyan Nagar,"Italian, Beverages",600.0,2
Fragrant Kitchen,No,3.7,110,Kalyan Nagar,"North Indian, Chinese, Cafe, Desserts",700.0,2
Moghul's Restaurant,Yes,3.0,51,HBR Layout,"Mughlai, North Indian, Chinese",700.0,0
Lil Asia,Yes,3.4,7,Banaswadi,"Chinese, Thai, Nepalese, Tibetan",350.0,0
Delicious Momos,No,3.9,52,Kalyan Nagar,"Chinese, Momos",200.0,2
The Bawarchi,Yes,2.5,256,Banaswadi,"North Indian, Chinese",1050.0,0
Le Spice Restaurant,Yes,3.4,122,Banaswadi,"Arabian, Kerala, North Indian, Chinese, Beverages",700.0,0
Aroma Spice,Yes,3.9,123,Kalyan Nagar,"Andhra, Chinese, North Indian, Seafood",800.0,2
My China,No,3.0,14,Kalyan Nagar,"Chinese, Asian, Malaysian",600.0,0
New Krishna Sagar,Yes,4.0,57,HBR Layout,"North Indian, Chinese, South Indian, Street Food",400.0,2
Navami Kitchen,Yes,3.2,5,Banaswadi,"Andhra, North Indian, Chinese, Seafood",500.0,0
Knowhere,No,3.9,58,Banaswadi,"Continental, Finger Food",1300.0,1
Food Magic Restaurant,Yes,3.8,88,Kalyan Nagar,"Kerala, North Indian, Chinese, Arabian",400.0,2
Brew Bakes Cafe,No,3.7,46,Kalyan Nagar,Cafe,500.0,2
Nandhini,Yes,3.7,111,Banaswadi,"Andhra, Chinese, North Indian",600.0,2
Whistling Tandoor,No,3.0,24,Banaswadi,"Continental, Chinese, Fast Food",600.0,0
Adukkala Restaurant,Yes,2.9,128,Banaswadi,Kerala,600.0,0
Sizzling Szechuan,Yes,3.9,228,Banaswadi,"Chinese, Thai, Seafood",600.0,2
ILA Kitchen,Yes,3.7,16,Banaswadi,Kerala,300.0,2
